transaction_id,customer_id,timestamp,home_country,source_currency,dest_currency,channel,amount_src,amount_usd,fee,exchange_rate_src_to_dest,device_id,new_device,ip_address,ip_country,location_mismatch,ip_risk_score,kyc_tier,account_age_days,device_trust_score,chargeback_history_count,risk_score_internal,txn_velocity_1h,txn_velocity_24h,corridor_risk,is_fraud
fee8542d-8ee6-4b0d-9671-c294dd08ed26,402cccc9-28de-45b3-9af7-cc5302aa1f93,2022-10-03 18:40:59.468549+00:00,US,USD,CAD,ATM,278.19,278.19,4.25,1.351351,9f292dcc-3297-4947-a260-6a1ef69041ff,False,221.78.171.180,US,False,0.123,standard,263,0.522,0,0.223,0,0,0.0,0
bfdb9fc1-27fe-4a85-b043-4d813d679259,67c2c6b3-ef0a-4777-a3f1-c84a851bb6ad,2022-10-03 20:39:38.468549+00:00,CA,CAD,MXN,web,208.51,154.29,4.24,12.758621,3a95b9f5-309f-4684-a46d-e2ff2435bf78,True,120.12.20.29,CA,False,0.569,standard,947,0.475,0,0.268,0,1,0.0,0
fc855034-3ea5-4993-9afa-b511d93fe5e8,6d0d9b27-fa26-45f8-93b1-2df29d182d9c,2022-10-03 23:02:43.468549+00:00,US,USD,CNY,mobile,160.33,160.33,2.7,7.142857,a4737752-9aac-43ed-9d8b-2ccdffc24052,False,223.96.181.93,US,False,0.437,enhanced,367,0.939,0,0.176,0,0,0.0,0
2cf8c08e-42ec-444d-a755-34b9a2a0a4ca,7bd5200c-5d19-44f0-9afe-8b339a05366b,2022-10-04 01:08:53.468549+00:00,US,USD,EUR,mobile,59.41,59.41,2.22,0.925926,6aeb85a3-5603-4221-896c-9e6882764f1a,False,186.228.15.74,US,False,0.594,standard,147,0.551,0,0.391,0,0,0.0,0
d907a74d-b426-438d-97eb-dbe911aca91c,70a93d26-8e3a-4179-900c-a4a7a74d08e5,2022-10-04 09:35:03.468549+00:00,US,USD,INR,mobile,200.96,200.96,3.61,83.333333,a5b9250e-dbe0-4c5f-a6e7-5492b7349402,False,11.82.47.62,US,False,0.121,enhanced,257,0.894,0,0.257,0,0,0.0,0
ec17d6f2-6505-4de9-910f-0de3ac3bbc23,4cfe5cbc-d677-49bc-8739-b1d05f351250,2022-10-04 12:09:59.468549+00:00,US,USD,GBP,mobile,526.9,526.9,8.75,0.8,209e3bb0-50ea-49b7-a681-036adf7b1251,False,191.142.136.198,US,False,0.094,low,616,0.702,0,0.361,0,0,0.0,0
2d8efe37-33ea-40de-9881-e553e3f2f8ce,67c2c6b3-ef0a-4777-a3f1-c84a851bb6ad,2022-10-04 12:37:41.468549+00:00,CA,CAD,GBP,mobile,149.24,110.44,2.33,0.592,cd539961-17ad-4f6b-94ae-8080423af5e3,False,106.34.98.71,CA,False,0.299,standard,947,0.625,0,0.268,0,0,0.0,0
4d311532-ee0b-4985-b996-63e11a7144d3,4dfeffe2-94ed-4fc3-b5bc-89c6f1e86dab,2022-10-04 16:27:44.468549+00:00,CA,CAD,INR,web,276.51,204.62,5.59,61.666667,96468499-b7b2-4273-a946-dbf2cb7dc95a,False,32.170.54.208,CA,False,0.087,standard,1041,0.867,0,0.245,0,1,0.12,0
db5bdea7-0701-4c07-9efa-815fa6ca9ede,6d0d9b27-fa26-45f8-93b1-2df29d182d9c,2022-10-04 21:00:36.468549+00:00,US,USD,EUR,mobile,99.52,99.52,2.41,0.925926,3c27e832-cb50-4fc5-b782-ec97f6a5d50c,False,109.242.237.91,US,False,0.182,enhanced,367,0.939,0,0.176,0,0,0.0,0
d74c81c0-bf5d-4184-8ce2-27fb753cb1c6,f7531a78-8bbe-4a85-b1e8-a0650edddc72,2022-10-04 21:20:42.468549+00:00,US,USD,PHP,web,302.55,302.55,5.26,58.823529,3df8c73d-b716-4a6e-8172-d2b7359b60b2,False,103.237.21.29,US,False,0.413,standard,1016,0.944,0,0.247,0,0,0.1,1
ff57e293-80cf-4e72-baa4-37011f79b0ff,70a93d26-8e3a-4179-900c-a4a7a74d08e5,2022-10-04 22:18:42.468549+00:00,US,USD,NGN,mobile,187.84,187.84,3.14,1111.111111,8303b289-ab19-473d-986e-a358b73b47a4,False,224.70.29.217,US,False,0.318,enhanced,257,0.894,0,0.257,0,0,0.25,0
43a11314-6420-4e23-b0a8-69d5f010da86,af8ca4c4-8703-4c55-b66c-2b76cd70040d,2022-10-04 22:54:28.468549+00:00,US,USD,USD,mobile,9998.43,9998.43,151.63,1.0,4bb9533a-117f-455a-9e69-a484a77a7176,False,79.129.58.248,US,False,0.254,standard,1018,0.934,0,0.087,0,0,0.0,0
2743f55c-3693-4219-a62c-5b3d22caf2c6,d71c91b4-fee8-4104-9856-a5c6109a62e3,2022-10-05 00:57:43.468549+00:00,US,USD,CNY,WEB,171.86,171.86,2.96,7.142857,d9e1f739-eac3-4a99-9863-beb39ce9e9fb,False,212.97.193.174,US,False,0.109, standard  ,298,0.336,0,0.166,0,0,0.0,0
1a34a095-3be4-4a69-a22e-803be566526c,7041b9c1-3719-4ca8-9a6b-811b47cea6c0,2022-10-05 07:04:39.468549+00:00,UK,GBP,EUR,mobile,322.24,,,1.157407,9957de24-ace9-4938-bb81-6e7e41276961,False,,,False,0.245,,4,,0,0.407,0,0,0.05,0
293c5ffb-ea4a-4ddb-855d-b159d7faee37,7bd5200c-5d19-44f0-9afe-8b339a05366b,2022-10-05 13:34:02.468549+00:00,US,USD,INR,ATM,87.81,87.81,2.4,83.333333,3c9c9dd3-91c1-4b39-a2f7-9c0df1d7b9b8,True,31.210.109.168,US,False,0.151,standard,147,0.401,0,0.391,0,1,0.0,0
d48dbfbf-2b25-47e0-8470-66e8996faa0f,70a93d26-8e3a-4179-900c-a4a7a74d08e5,2022-10-05 15:32:41.468549+00:00,US,USD,CAD,web,9991.85,9991.85,151.39,1.351351,438a44cf-2f89-4c5e-861c-942cb1bed78c,False,15.50.13.82,US,False,0.423,enhanced,257,0.894,0,0.257,0,0,0.0,0
939c7f20-585e-4534-b346-2c879ac977d7,f7531a78-8bbe-4a85-b1e8-a0650edddc72,2022-10-05 17:13:30.468549+00:00,US,USD,GBP,mobile,309.39,309.39,5.54,0.8,e240bdf3-bb1a-4d92-af94-8dd4b190ccd8,False,178.184.240.95,US,False,0.329,standard,1016,0.944,0,0.247,0,0,0.0,0
0517c799-0f40-4d7c-b720-2f4969b2564f,6d0d9b27-fa26-45f8-93b1-2df29d182d9c,2022-10-05 19:41:37.468549+00:00,US,USD,MXN,web,260.49,260.49,4.85,17.241379,4bcb0480-cfb2-4b4d-a41f-0471e01d47ec,False,12.81.186.104,US,False,0.316,enhanced,367,0.939,0,0.176,0,0,0.2,0
61d9b774-8426-4edc-bc73-272dbb254f60,af8ca4c4-8703-4c55-b66c-2b76cd70040d,2022-10-05 22:10:20.468549+00:00,US,USD,GBP,mobile,87.5,87.5,2.31,0.8,ed016a0f-359e-49be-aadc-8fbc3a50844f,True,50.29.25.58,US,False,0.24,standard,1018,0.784,0,0.087,0,0,0.0,0
